name,age,city,salary,age_category
Barbara,12,Toronto,40000,young
Robert,21,Paris,120000,adult
John,25,Moscow,40000,adult
William,89,Toronto,35000,senior
Patricia,26,Sydney,135000,adult
Sarah,17,New York,60000,young
Karen,95,Toronto,150000,senior
Christopher,71,Tokyo,20000,senior
Thomas,81,New York,135000,senior
Christopher,7,New York,105000,young
Karen,93,Paris,50000,senior
James,49,Toronto,135000,adult
Karen,54,Paris,190000,adult
Jessica,14,Tokyo,175000,young
John,99,New York,140000,senior
Linda,6,New York,65000,young
Richard,46,Tokyo,20000,adult
Christopher,94,Toronto,85000,senior
Barbara,21,Cairo,60000,adult
Jessica,77,Sydney,80000,senior
Sarah,50,Cairo,55000,adult
James,45,Toronto,45000,adult
Susan,78,New York,50000,senior
Sarah,32,Cape Town,110000,adult
Jennifer,5,Tokyo,100000,young
Karen,32,Cairo,75000,adult
Mary,24,Toronto,170000,adult
William,2,Tokyo,130000,young
Linda,92,Toronto,155000,senior
Michael,95,Toronto,75000,senior
Christopher,84,Mumbai,125000,senior
Robert,99,Moscow,105000,senior
Jessica,12,Paris,135000,young
William,77,Sydney,180000,senior
Patricia,24,Sydney,150000,adult
Linda,28,Rio de Janeiro,70000,adult
Susan,9,Tokyo,95000,young
Linda,13,Mumbai,80000,young
Linda,14,Tokyo,190000,young
Elizabeth,21,Moscow,125000,adult
Sarah,66,Tokyo,110000,senior
William,17,Cairo,180000,young
William,12,Cape Town,200000,young
William,6,Paris,145000,young
Jessica,74,Mumbai,150000,senior
William,33,Cairo,105000,adult
James,23,Sydney,50000,adult
Linda,70,New York,165000,senior
Elizabeth,6,Cairo,165000,young
William,75,Mumbai,65000,senior
Sarah,96,Cape Town,25000,senior
David,24,Sydney,170000,adult
Thomas,10,Sydney,135000,young
Thomas,34,Rio de Janeiro,80000,adult
Jennifer,99,Cairo,165000,senior
Mary,76,Mumbai,100000,senior
James,17,New York,50000,young
Christopher,38,Toronto,60000,adult
Patricia,98,Cairo,175000,senior
Barbara,58,Rio de Janeiro,180000,adult
Mary,9,Sydney,135000,young
Patricia,3,Mumbai,100000,young
Jessica,56,Rio de Janeiro,165000,adult
Thomas,81,Tokyo,60000,senior
Richard,18,Toronto,160000,young
James,82,Mumbai,35000,senior
Susan,61,Cairo,60000,adult
Jessica,11,Tokyo,115000,young
Karen,88,Cape Town,70000,senior
John,32,Cairo,155000,adult
Barbara,75,Cape Town,120000,senior
Patricia,43,Mumbai,165000,adult
Jennifer,43,Cairo,20000,adult
Barbara,23,Toronto,145000,adult
James,81,Cape Town,90000,senior
James,66,Moscow,125000,senior
Robert,10,Tokyo,160000,young
Christopher,85,Moscow,195000,senior
Linda,34,Mumbai,130000,adult
Elizabeth,85,Rio de Janeiro,110000,senior
Linda,73,Sydney,120000,senior
Robert,23,Mumbai,185000,adult
James,88,Mumbai,200000,senior
Karen,72,Paris,90000,senior
Jessica,95,Sydney,145000,senior
Barbara,36,Mumbai,95000,adult
Robert,12,Cape Town,140000,young
William,65,Cairo,180000,adult
Sarah,69,Cape Town,195000,senior
David,80,Sydney,110000,senior
Jennifer,89,Moscow,115000,senior
Sarah,45,Mumbai,165000,adult
Christopher,6,Toronto,25000,young
David,55,Rio de Janeiro,90000,adult
David,93,Cape Town,75000,senior
Michael,93,Toronto,160000,senior
Jennifer,68,Tokyo,180000,senior
William,5,Tokyo,185000,young
Richard,63,Sydney,25000,adult
Sarah,83,Rio de Janeiro,110000,senior
Christopher,24,Cape Town,80000,adult
Linda,84,Cairo,30000,senior
Michael,59,New York,45000,adult
Christopher,79,Mumbai,145000,senior
Jennifer,21,Tokyo,25000,adult
Michael,50,Toronto,75000,adult
Linda,9,Toronto,55000,young
Barbara,1,Toronto,115000,young
Patricia,79,Paris,170000,senior
Michael,26,Tokyo,135000,adult
Jessica,68,Cape Town,140000,senior
Patricia,75,Tokyo,50000,senior
William,32,Cairo,60000,adult
Robert,10,Tokyo,65000,young
Jennifer,33,Cape Town,175000,adult
Robert,93,New York,80000,senior
Elizabeth,60,Mumbai,180000,adult
Jennifer,87,Paris,85000,senior
Patricia,47,Cape Town,20000,adult
Joseph,13,New York,60000,young
Thomas,58,Cairo,70000,adult
Jennifer,44,Tokyo,30000,adult
James,43,Cairo,180000,adult
Jennifer,16,Paris,145000,young
Karen,98,Toronto,115000,senior
Patricia,15,Toronto,100000,young
Jessica,67,Cape Town,170000,senior
Jennifer,33,Tokyo,110000,adult
Sarah,68,New York,90000,senior
Michael,93,Tokyo,50000,senior
Thomas,17,New York,130000,young
James,33,Cairo,150000,adult
Barbara,50,Sydney,155000,adult
Christopher,36,Sydney,120000,adult
James,37,New York,200000,adult
Joseph,65,Toronto,115000,adult
Jennifer,64,New York,35000,adult
Jennifer,24,Mumbai,195000,adult
Linda,34,Cairo,155000,adult
Christopher,6,Rio de Janeiro,195000,young
David,34,Mumbai,80000,adult
Karen,36,Rio de Janeiro,65000,adult
Jennifer,21,Rio de Janeiro,60000,adult
Susan,54,New York,135000,adult
John,81,Mumbai,130000,senior
Michael,5,Mumbai,105000,young
John,23,New York,155000,adult
Michael,2,Sydney,75000,young
Jessica,57,Rio de Janeiro,60000,adult
Robert,73,Toronto,185000,senior
William,3,Toronto,110000,young
Robert,44,Tokyo,65000,adult
David,42,Rio de Janeiro,170000,adult
Linda,10,Moscow,185000,young
Linda,50,Toronto,140000,adult
Elizabeth,23,Toronto,155000,adult
Jessica,1,Moscow,75000,young
Susan,21,Tokyo,150000,adult
David,24,Tokyo,85000,adult
Linda,74,Sydney,120000,senior
David,91,Tokyo,100000,senior
Christopher,41,Tokyo,190000,adult
Robert,89,Moscow,90000,senior
Jennifer,89,Mumbai,125000,senior
Jennifer,7,Tokyo,90000,young
Robert,99,Cairo,190000,senior
John,45,Sydney,20000,adult
Michael,30,Mumbai,30000,adult
Christopher,38,Sydney,35000,adult
Patricia,40,Sydney,100000,adult
Sarah,53,New York,105000,adult
Robert,10,Cairo,115000,young
Karen,46,Toronto,60000,adult
Mary,18,Paris,185000,young
Jennifer,49,Paris,170000,adult
Linda,55,Rio de Janeiro,25000,adult
Mary,16,Mumbai,150000,young
Barbara,62,New York,100000,adult
Mary,78,Sydney,170000,senior
James,54,Cairo,200000,adult
Mary,13,Cape Town,80000,young
Richard,77,New York,140000,senior
Christopher,48,Tokyo,55000,adult
Robert,76,Mumbai,115000,senior
William,93,Tokyo,110000,senior
Sarah,40,Rio de Janeiro,170000,adult
Joseph,88,Mumbai,25000,senior
Jessica,14,Sydney,135000,young
Susan,64,Cairo,185000,adult
Thomas,68,Paris,115000,senior
Joseph,54,Rio de Janeiro,175000,adult
Robert,5,Rio de Janeiro,140000,young
Patricia,19,Paris,85000,adult
Karen,31,Moscow,30000,adult
Michael,74,Toronto,60000,senior
Richard,14,Toronto,170000,young
Michael,79,Cairo,55000,senior
Christopher,3,Toronto,65000,young
William,59,Cape Town,165000,adult
David,90,Cairo,160000,senior
Richard,2,Sydney,150000,young
Patricia,76,Mumbai,160000,senior
Elizabeth,64,Rio de Janeiro,55000,adult
Jessica,70,New York,140000,senior
Linda,27,Cairo,125000,adult
Jessica,75,Cairo,175000,senior
Mary,89,Cairo,65000,senior
John,91,Cairo,190000,senior
Sarah,57,Tokyo,25000,adult
Sarah,39,Rio de Janeiro,195000,adult
James,63,Moscow,155000,adult
James,60,Toronto,75000,adult
William,53,Sydney,65000,adult
Robert,1,Cairo,70000,young
Susan,58,Mumbai,75000,adult
Christopher,53,Cairo,55000,adult
Michael,63,Paris,50000,adult
Elizabeth,48,New York,65000,adult
Linda,8,Mumbai,25000,young
James,86,Mumbai,155000,senior
David,89,Moscow,130000,senior
Susan,58,Cape Town,105000,adult
Jessica,11,Paris,65000,young
John,84,Moscow,195000,senior
Elizabeth,79,Sydney,120000,senior
Michael,76,Tokyo,185000,senior
Richard,59,Tokyo,35000,adult
Michael,49,Cape Town,135000,adult
Richard,35,Cairo,130000,adult
William,77,Cairo,125000,senior
Linda,91,Paris,65000,senior
Karen,21,Moscow,60000,adult
Michael,78,Toronto,25000,senior
John,21,Toronto,90000,adult
